Description,Z Coordinate,Name,latitude,longitude
http://www.angelfire.com/oh/ohiosasquatch/1990.html,0.0,1990-06-26 ~20mi,40.373039,-81.556182
http://www.angelfire.com/oh/ohiosasquatch/1990.html,0.0,1990-02-04 ~20mi,40.280342,-81.826962
http://www.angelfire.com/oh/ohiosasquatch/1990.html,0.0,1990-10-27 ~20mi,40.298624,-81.103126
http://www.angelfire.com/oh/ohiosasquatch/1990.html,0.0,1990-05-27 ~20mi,40.260816,-81.803552
http://www.angelfire.com/oh/ohiosasquatch/1990.html,0.0,1990-01-28 ~20mi,40.265279,-81.916211
http://www.angelfire.com/oh/ohiosasquatch/1990.html,0.0,1990-11-10 ~20mi,40.303774,-81.789653
http://www.angelfire.com/oh/ohiosasquatch/1990.html,0.0,1990-09-23 ~20mi,40.045466,-80.965039
http://www.angelfire.com/oh/ohiosasquatch/1991.html,0.0,1991-12-3? ~3mi,40.735502,-81.113765
http://www.angelfire.com/oh/ohiosasquatch/1991.html,0.0,1991-09-06,40.221634,-81.599489
http://www.angelfire.com/oh/ohiosasquatch/1991.html,0.0,1991-06-17 ~3mi,40.209446,-81.972112
http://www.angelfire.com/oh/ohiosasquatch/1991.html,0.0,1991-05-02 ~20mi,40.326648,-81.905237
http://www.angelfire.com/oh/ohiosasquatch/1991.html,0.0,1991-07-26 ~3mi,40.873947,-81.084912
http://www.angelfire.com/oh/ohiosasquatch/1991.html,0.0,1991-07-10 ~3mi,40.736017,-81.124978
http://www.angelfire.com/oh/ohiosasquatch/1991.html,0.0,1991-08-13 ~20mi,40.285492,-81.92347
http://www.angelfire.com/oh/ohiosasquatch/1991.html,0.0,1991-03-23 ~20mi,40.29429,-81.938889
http://www.angelfire.com/oh/ohiosasquatch/1991.html,0.0,1991-04-25,40.288324,-81.687177
http://www.angelfire.com/oh/ohiosasquatch/1991.html,0.0,1991-10-26 ~3mi,40.206614,-81.972112
http://www.angelfire.com/oh/ohiosasquatch/1991.html,0.0,1991-12-22 ~3mi,40.217772,-81.973573
http://www.angelfire.com/oh/ohiosasquatch/1991.html,0.0,1991-06-??,40.068769,-80.898525
http://www.angelfire.com/oh/ohiosasquatch/1991.html,0.0,1991-07-12 ~3mi,40.215368,-81.972674
http://www.angelfire.com/oh/ohiosasquatch/1991.html,0.0,1991-09-26 ~3mi,40.151424,-81.566561
http://www.angelfire.com/oh/ohiosasquatch/1992.html,0.0,1992-01-01 ~20mi,40.009117,-81.479788
http://www.angelfire.com/oh/ohiosasquatch/1992.html,0.0,1992-06-07 ~3mi,40.211023,-81.970611
http://www.angelfire.com/oh/ohiosasquatch/1992.html,0.0,1992-01-24 ~3mi,39.963369,-81.586568
http://www.angelfire.com/oh/ohiosasquatch/1992.html,0.0,1992-08-29 ~3mi,40.212418,-81.972072
http://www.angelfire.com/oh/ohiosasquatch/1992.html,0.0,1992-06-?? ~3mi,40.28841,-81.683801
http://www.angelfire.com/oh/ohiosasquatch/1992.html,0.0,1992-08-?? ~3mi,40.186615,-81.197956
http://www.angelfire.com/oh/ohiosasquatch/1992.html,0.0,1992-08-30,40.138721,-81.498722
http://www.angelfire.com/oh/ohiosasquatch/1992.html,0.0,1992-01-?? ~3mi,39.970064,-81.585
http://www.angelfire.com/oh/ohiosasquatch/1992.html,0.0,1992-03-06 ~3mi,40.173912,-81.159559
http://www.angelfire.com/oh/ohiosasquatch/1992.html,0.0,1992-01-?? ~3mi,40.36377,-83.762342
http://www.angelfire.com/oh/ohiosasquatch/1992.html,0.0,1992-04-?? ~3mi,40.263863,-81.758609
http://www.angelfire.com/oh/ohiosasquatch/1993.html,0.0,1993-08-13 ~20mi,40.32742,-81.101269
http://www.angelfire.com/oh/ohiosasquatch/1993.html,0.0,1993-05-23 ~20mi,40.34729,-81.902311
http://www.angelfire.com/oh/ohiosasquatch/1993.html,0.0,1993-09-26 ~20mi,41.018057,-80.80412
http://www.angelfire.com/oh/ohiosasquatch/1993.html,0.0,1993-09-04 ~20mi,40.307679,-81.978392
http://www.angelfire.com/oh/ohiosasquatch/1993.html,0.0,1993-10-27 ~20mi,40.014267,-81.967013
http://www.angelfire.com/oh/ohiosasquatch/1993.html,0.0,1993-08-02 ~20mi,40.436554,-81.453557
http://www.angelfire.com/oh/ohiosasquatch/1993.html,0.0,1993-07-21 ~20mi,40.274763,-81.910358
http://www.angelfire.com/oh/ohiosasquatch/1993.html,0.0,1993-03-09 ~20mi,40.459728,-81.507689
http://www.angelfire.com/oh/ohiosasquatch/1994.html,0.0,1994-04-11 ~20mi,40.303774,-81.9067
http://www.angelfire.com/oh/ohiosasquatch/1994.html,0.0,1994-09-?? ~20mi,40.059328,-81.468018
http://www.angelfire.com/oh/ohiosasquatch/1994.html,0.0,1994-01-03 ~20mi,39.997787,-81.9052
http://www.angelfire.com/oh/ohiosasquatch/1994.html,0.0,1994-05-?? ~20mi,40.7761,-81.350824
http://www.angelfire.com/oh/ohiosasquatch/1994.html,0.0,1995-11-?? ~20mi,40.428829,-81.500922
http://www.angelfire.com/oh/ohiosasquatch/1994.html,0.0,1994-06-05 ~20mi,40.308795,-81.852566
http://www.angelfire.com/oh/ohiosasquatch/1994.html,0.0,1994-05-?? ~20mi,40.439987,-81.488517
http://www.angelfire.com/oh/ohiosasquatch/1994.html,0.0,1994-11-?? ~20mi,40.07349,-81.527708
http://www.angelfire.com/oh/ohiosasquatch/1995.html,0.0,1995-09-24,40.155072,-81.79821
