"Location","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Antigua and Barbuda","ATG","Population density (people per sq. km of land area)","EN.POP.DNST","","125.915909090909","127.979545454545","130.381818181818","132.954545454545","135.575","138.222727272727","140.913636363636","143.581818181818","146.152272727273","148.565909090909","150.768181818182","152.738636363636","154.481818181818","156.034090909091","157.393181818182","158.595454545455","159.597727272727","160.245454545455","160.347727272727","159.775","158.522727272727","156.704545454545","154.45","151.961363636364","149.418181818182","146.829545454545","144.281818181818","142.131818181818","140.834090909091","140.695454545455","141.845454545455","144.168181818182","147.427272727273","151.25","155.338636363636","159.647727272727","164.163636363636","168.65","172.820454545455","176.472727272727","179.481818181818","181.886363636364","183.872727272727","185.722727272727","187.647727272727","189.697727272727","191.811363636364","193.975","196.136363636364","198.256818181818","200.345454545455","202.429545454545","",
"Australia","AUS","Population density (people per sq. km of land area)","EN.POP.DNST","","1.36456529945459","1.39827916118871","1.42535438605626","1.45360113507673","1.48236856149851","1.51660310063392","1.53586816448199","1.56320372805019","1.59626674303269","1.62802806451193","1.68400088515158","1.71524152922953","1.74166590734546","1.78631399450685","1.80844278406206","1.82666649310753","1.84736341980917","1.86897153196308","1.88927795061375","1.91244809497156","1.94303789229788","1.9757103992294","2.00057274514143","2.02335238144826","2.05120862241777","2.08510472124234","2.11706129674707","2.1519857334392","2.18871952410086","2.22135298022728","2.24984705101337","2.2773127839319","2.29970191218776","2.32417375004881","2.35242049906929","2.38353097379691","2.41034585996381","2.43559871392682","2.46358512424664","2.49313356677037","2.52697759785481","2.55800997097223","2.58977129245148","2.61997058172683","2.65477786600367","2.69423219608711","2.71111516082423","2.76599455892116","2.82359449643987","2.86786509248532","2.90798328625542","2.95770797807948","",
"Austria","AUT","Population density (people per sq. km of land area)","EN.POP.DNST","","85.9466221952699","86.4750030321407","87.0322741055185","87.6143238326258","88.1854335961189","88.8061370527593","89.4723832625834","89.9381807155852","90.249302607641","90.5650212249848","90.9700667070952","91.5003153426319","92.0086719223772","92.1654093389933","91.9212007277138","91.7589448150394","91.7941782898726","91.7198908429351","91.5636749545179","91.56377198302","91.7975742874469","91.8634323832626","91.7151000606428","91.7093268647665","91.7523953911462","91.8107216494845","91.8688417222559","91.9989933292905","92.4143966040024","93.1212856276531","94.0556822316556","95.0965312310491","95.8839660400243","96.2537052759248","96.401188599151","96.5314372346877","96.6408853850819","96.7469860521528","96.9354032747119","97.1687810794421","97.5414554275318","98.0225227410552","98.501188599151","99.1142025469982","99.7917404487568","100.286731352335","100.676628259551","101.114930260764","101.509240495577","101.806489582449","102.005691125969","102.294543071752","",
"Azerbaijan","AZE","Population density (people per sq. km of land area)","EN.POP.DNST","","48.4332411969715","50.0848215358731","51.7643912991227","53.4269078235789","55.0385650763129","56.5855666386252","58.071121259464","59.4997836798462","60.8830669390698","62.2300204302367","63.5413051315948","64.8140367744262","66.0504867203461","67.2534551135681","68.4268236990746","69.571565917558","70.6933661819493","71.8068140848456","72.9303088571085","74.0775147217882","75.2546809277731","76.4606297320034","77.6922845811801","78.9431198173296","80.2079918279053","81.4802307414974","82.7596202379522","84.0540680206706","85.3750510755919","86.0353322917918","87.3813243600529","88.7078361392504","90.0657317615391","91.2914428542245","92.3489190910511","93.2862275736929","94.1904899239338","95.2317912675107","96.5207665800133","97.434779976999","98.1937920681807","98.9124645960929","99.6237235638581","100.475372556609","101.522501814662","102.672531674674","103.853368672016","106.059762547351","108.291290455327","109.542344173442","110.976336228798","112.460790244138","",
"Burundi","BDI","Population density (people per sq. km of land area)","EN.POP.DNST","","110.606503115265","112.714563862928","114.910552959502","117.28804517134","119.90007788162","122.814602803738","125.978387850467","129.178933021807","132.124182242991","134.622780373832","136.588512461059","138.136098130841","139.522975077882","141.115732087227","143.185007788162","145.820794392523","148.965186915888","152.561292834891","156.497118380062","160.690732087227","165.101051401869","169.757749221184","174.725","180.095404984424","185.909462616822","192.197897196262","198.859306853583","205.639914330218","212.201674454829","218.297235202492","223.900856697819","229.076285046729","233.789096573209","238.023714953271","241.819431464174","245.11222741433","248.036331775701","251.077570093458","254.878232087227","259.902102803738","266.330841121495","274.054789719626","282.879283489097","292.47550623053","302.585358255452","313.184540498442","324.311214953271","335.836448598131","347.61242211838","359.530880062305","371.509423676012","383.55019470405","",
"Belgium","BEL","Population density (people per sq. km of land area)","EN.POP.DNST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","338.548546895641","339.71499339498","341.241248348745","342.672820343461","344.159081902246","346.057364597094","348.347357992074","350.914795244386","353.697919418758","356.555250990753","359.827807133421","364.85284015852","367.51142668428","",
"Benin","BEN","Population density (people per sq. km of land area)","EN.POP.DNST","","21.8694749911316","22.1996452642781","22.5552944306492","22.9368747782902","23.3448031216744","23.7795494856332","24.2413089748138","24.7299663001064","25.2452288045406","25.7872383824051","26.3563409010287","26.9537069882937","27.5813586378148","28.2418144732175","28.9372029088329","29.6692178077332","30.4386484568996","31.2457431713374","32.0903600567577","32.9728981908478","33.8968251152891","34.8648013479957","35.8757715501951","36.9277048598794","38.0211333806314","39.1490776871231","40.316920893934","41.5517470734303","42.8896771904931","44.3532369634622","45.9606686768358","47.6962220645619","49.5070947144377","51.3195636750621","53.0831677899965","54.7740156083718","56.4145175594182","58.0568730046116","59.7773235189784","61.6297091167081","63.6299308265342","65.7568641362185","67.9822720822987","70.2624689606243","72.5644022703086","74.8817931890741","77.2214437743881","79.5786892515076","81.9508957076978","84.3366264632849","86.7310659808443","89.1335757360766","",
"Burkina Faso","BFA","Population density (people per sq. km of land area)","EN.POP.DNST","","17.8895394736842","18.1298428362573","18.3765277777778","18.6363011695906","18.9139948830409","19.2118530701754","19.528581871345","19.8612573099415","20.2053070175439","20.5577375730994","20.9187828947368","21.2908296783626","21.6757565789474","22.0761842105263","22.4946929824561","22.9314217836257","23.3879276315789","23.8699561403509","24.3847185672515","24.9372807017544","25.530548245614","26.163216374269","26.8308004385965","27.5264766081871","28.2452923976608","28.9864400584795","29.7517397660819","30.5420540935673","31.359009502924","32.2040679824561","33.0778143274854","33.9806871345029","34.914009502924","35.8793347953216","36.878201754386","37.9114108187134","38.9801973684211","40.0871198830409","41.235168128655","42.4266959064327","43.6625730994152","44.9429788011696","46.2685891812866","47.639831871345","49.0567580409357","50.5199451754386","52.0287828947368","53.5805774853801","55.1716630116959","56.799283625731","58.4624013157895","60.1613340643275","",
"Bangladesh","BGD","Population density (people per sq. km of land area)","EN.POP.DNST","","391.438142429131","402.575424444957","414.144833679035","426.389582853192","439.428531919797","453.482568948298","468.361281401245","483.285134823692","497.195651839902","509.402028117078","519.534977337328","528.002381501114","535.845563493893","544.543297226704","555.159967734501","568.062257048475","582.930659906276","599.305707920412","616.438296074364","633.774602442959","651.180318045633","668.822171007144","686.791626334793","705.264792194822","724.342951524929","744.038603364831","764.208243066759","784.614096950142","804.942344626258","824.966175001921","844.546285626488","863.724114619344","882.672989168011","901.663148190827","920.869516785742","940.31571022509","959.86260275025","979.323377122225","998.439141123147","1017.00288084812","1035.02729507567","1052.51808404394","1069.26316355535","1085.00449412307","1099.60190520089","1112.9192747945","1125.12151033264","1136.74400399478","1148.52193285703","1160.98544211416","1174.3291925943","1188.41029423062","",
"Bulgaria","BGR","Population density (people per sq. km of land area)","EN.POP.DNST","","71.798951459821","72.4301364910061","73.0194793455663","73.6178251830426","74.1586188194884","74.6457290065986","75.1172918738136","75.6540088583567","76.2376570550484","76.7384434601826","77.1616650094911","77.5214679562506","77.9261231130796","78.4483865136039","78.8280032540902","79.1701979571545","79.5822380909337","79.6712645756124","79.7789026484679","80.1006508180421","80.3680466419597","80.6061375757028","80.8075386423212","80.9968272620446","80.9956340956341","80.9741571002441","81.0933652716261","81.1845430714996","80.2401880141011","78.8058302449607","78.0291693030823","77.1957335261683","76.5824188737232","76.3227967097532","75.9836120401338","75.5927506101419","75.1339419687246","74.6342402603272","74.216975503932","73.8513242339329","72.4964476181868","72.3204779411765","71.927525972235","71.5443269584406","71.2435567010309","70.8737917702292","69.4718534204954","68.98592210662","68.5744565217391","68.1245302137067","67.6890935887988","67.2981577008106","",
